رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
714;صلَّيت مع النبي ﷺ وأبي بكر وعمر وعثمان فكانوا لا يجهرون بـ﴿بسم الله الرحمن الرحيم﴾;أنس بن مالك;رواه أحمد والنسائي (أحمد 3/179/3، 264/3، النسائي 2/134 - 135);صحيح
715;أنه صلَّى بنا الصبح فقرأ في الركعة الأولى بـ﴿الكافرون﴾ وفي الثانية بـ﴿الإخلاص﴾;أبو هريرة;يأتي في محله;صحيح
716;كان رسول الله ﷺ يقطع قراءته آيةً آيةً ﴿الحمد لله رب العالمين﴾ ثم يقف ﴿الرحمن الرحيم﴾ ثم يقف;أم سلمة;رواه أحمد وأبو داود (أحمد 6/302، أبو داود 4001);صحيح
717;سُئل أنس عن قراءة النبي ﷺ فقال: كانت مدًّا;أنس بن مالك;رواه البخاري (البخاري 2/241/6);صحيح
718;سمعني أبي وأنا أقول: بسم الله الرحمن الرحيم فقال يا بني إياك والحدث منه... فإني صلَّيت مع رسول الله ﷺ ومع أبي بكر ومع عمر ومع عثمان فلم أسمع أحداً منهم يقولها;ابن عبد الله بن مغفل;رواه الخمسة إلا أبا داود;صحيح
719;صلَّيت مع النبي ﷺ وأبي بكر وعمر وعثمان فكانوا يستفتحون بـ﴿الحمد لله رب العالمين﴾ لا يذكرون ﴿بسم الله الرحمن الرحيم﴾ في أول قراءة ولا في آخرها;أنس بن مالك;رواه مسلم وأحمد (مسلم 2/12، أحمد 3/223، 3/177، 273، ابن ماجه 815);صحيح
720;صلَّيت بنا رسول الله ﷺ وصلَّى بنا أبو بكر وعمر فلم يسمعنا قراءةً بسم الله الرحمن الرحيم;أنس بن مالك (رواية النسائي);رواه النسائي (النسائي 2/134 - 135);صحيح
721;إني أراكم تقرؤون وراء إمامكم... فلا تفعلوا إلا بأمِّ القرآن فإنه لا صلاة لمن لم يقرأ بها;عبادة بن الصامت;رواه أبو داود والترمذي، والبخاري في جزء القراءة وصحَّحه (أبو داود 823، الترمذي 311);صحيح
722;لا يقرأنَّ أحدكم شيئاً من القرآن إذا جهرت بالقراءة إلا بأمِّ القرآن;عبادة بن الصامت;رواه الدارقطني (1/321) وقال: رجاله كلهم ثقات;صحيح
723;يا معاذ أفتَّانٌ أنت؟ أو قال: أفَّاتِنٌ أنت؟ فلولا صلَّيت بـ﴿سبِّح اسم ربِّك الأعلى﴾ و﴿والشمس وضحاها﴾ و﴿والليل إذا يغشى﴾;جابر بن عبد الله;متفق عليه (البخاري 1/180، مسلم 2/42);صحيح
724;ما رأيت رجلاً أشبه صلاةً برسول الله ﷺ من فلان لإمام كان بالمدينة... فكان يُطيل الأُوليَيْن من الظهر ويخفِّف الآخرتين ويقرأ في الأُوليَيْن من العصر بقِصار المُفصَّل;سليمان بن يسار عن أبي هريرة;رواه أحمد والنسائي (أحمد 2/329 - 330، النسائي 2/167);صحيح
725;خذوا القرآن من أربعة: من ابن أمِّ عبد - فبدأ به - ومعاذ بن جبل، وأُبيِّ بن كعب، وسالم مولى أبي حذيفة;عبد الله بن عمرو;رواه أحمد والبخاري والترمذي وصحَّحه (البخاري 5/148 - 149، الترمذي 3810);صحيح
726;من أحبَّ أن يقرأ القرآن غريضاً كما أُنزل فليقرأه على قراءة ابن أمِّ عَبد;أبو هريرة;رواه أحمد (2/197 - 198، العقيلي 1/446);ضعيف
727;إن الله أمرني أن أقرأ عليك ﴿لم يكن الذين كفروا﴾... فبكى. قال: نعم;أُبيُّ بن كعب;متفق عليه (البخاري 5/45، مسلم 2/195);صحيح
728;أنه كان يسكت سكتتين: إذا استفتح وإذا فرغ من القراءة كلِّها. وفي رواية: سكتةً إذا كبَّر، وسكتةً إذا فرغ من قراءة ﴿غير المغضوب عليهم ولا الضالين﴾;سمرة بن جندب (عن الحسن عنه);رواه أبو داود والترمذي وابن ماجه وكذلك أحمد (أبو داود 780، الترمذي 251);صحيح
729;رأيت النبي ﷺ يكبِّر في كل رفع وخفض وقيام وقعود;ابن مسعود;رواه أحمد والنسائي والترمذي وصحَّحه (أحمد 1/386، 394، 426، النسائي 2/205، الترمذي 253);صحيح
730;صلَّيت الظهر بالبطحاء خلف شيخ أحمق... فكبَّر ثنتين وعشرين تكبيرة إذا سجد وإذا رفع رأسه. فقال ابن عباس: تلك صلاة أبي القاسم ﷺ;عكرمة عن ابن عباس;رواه أحمد والبخاري (البخاري 1/199، أحمد 1/292، 218، 339);صحيح
731;إذا صلَّيتم فأقيموا صفوفكم ثم ليؤمَّكم أحدكم، فإذا كبَّر فكبِّروا، وإذا قرأ فأنصتوا، وإذا قال: ﴿غير المغضوب عليهم ولا الضالين﴾ فقولوا: آمين... وإذا كبَّر وركع فكبِّروا واركعوا... وإذا قال: سمع الله لمن حمده فقولوا: اللهم ربنا لك الحمد...;أبو موسى الأشعري;رواه أحمد ومسلم وأبو داود والنسائي (مسلم 2/14 - 15، أحمد 3/393 - 394، 401، 405);صحيح
732;صلَّى لنا أبو سعيد فجهر بالتكبير حين رفع رأسه من السجود وحين قام من الركعتين، وحين سجد، وقال: هكذا رأيت رسول الله ﷺ;سعيد بن الحارث;رواه البخاري (البخاري 1/209/1 أبسط منه)، وهو لأحمد بلفظ أبسط من هذا;صحيح
733;اشتكى رسول الله ﷺ فصلَّينا وراءه وهو قاعد وأبو بكر وراءه يُسمع الناس تكبيره;جابر بن عبد الله;رواه أحمد ومسلم والنسائي وابن ماجه (مسلم 2/19، أحمد 3/334، النسائي 9/3، ابن ماجه 1240);صحيح
734;أنه ركع فجافى يديه ووضعهما على ركبتيه وفرَّج بين أصابعه من وراء ركبتيه وقال: هكذا رأيت رسول الله ﷺ يصلِّي;أبو مسعود عقبة بن عمرو;رواه أحمد وأبو داود والنسائي (أحمد 4/119، 120، أبو داود 863، النسائي 2/186);صحيح
735;وإذا ركعتَ فضع راحتيك على ركبتيك;رفاعة بن رافع (في حديثه عن النبي ﷺ);رواه أبو داود (860);صحيح
736;صلَّيت إلى جنب أبي فطبَّقت بين كفَّيَّ ثم وضعتهما بين فخذيَّ، فنهاني عن ذلك وقال: كنا نفعل هذا فأُمرنا أن نضع أيدينا على الركَب;مصعب بن سعد;رواه الجماعة (البخاري 1/200/1، مسلم 2/69/2، أبو داود 867، أحمد 1/181، أبو داود 873، ابن ماجه 882);صحيح
737;صلَّيت مع النبي ﷺ فكان يقول في ركوعه: سُبحان ربِّي العظيم، وفي سجوده: سُبحان ربِّي الأعلى. وما مرَّت بآية رحمة إلا وقف عندها يسأل، ولا آية عذاب إلا تعوَّذ منها;حذيفة بن اليمان;رواه الخمسة وصحَّحه الترمذي (أحمد 5/382، 384، أبو داود 871، الترمذي 262، 176/2، النسائي 2/176، ابن ماجه 897);صحيح
738;لما نزلت: ﴿فسبِّح باسم ربِّك العظيم﴾ [الواقعة: 74] قال لنا رسول الله ﷺ: اجعلوها في ركوعكم، فلما نزلت: ﴿سبِّح اسم ربِّك الأعلى﴾ [الأعلى: 1] قال: اجعلوها في سجودكم;عقبة بن عامر;رواه أحمد وأبو داود وابن ماجه (أحمد 4/155، 600/4، 869، أبو داود 869، ابن ماجه 887);صحيح
739;أن رسول الله ﷺ كان يقول في ركوعه وسجوده: سُبُّوح قُدُّوس ربُّ الملائكة والروح;عائشة;رواه أحمد ومسلم وأبو داود والنسائي (مسلم 2/51، أحمد 6/51، أبو داود 872، النسائي 2/190);صحيح
740;كانت عائشة تقول: كان رسول الله ﷺ يكثر أن يقول في ركوعه وسجوده: سبحانك اللهم ربَّنا وبحمدك اللهم اغفر لي. يتأوَّل القرآن;عائشة;رواه الجماعة إلا الترمذي (البخاري 1/201/5، مسلم 2/50، أحمد 6/49، أبو داود 877، النسائي 2/189);صحيح
741;إذا ركع أحدكم في ركوعه فقال: سبحان ربِّي العظيم ثلاث مرَّات فقد تمَّ ركوعه وذلك أدناه، وإذا سجد فقال في سجوده: سبحان ربِّي الأعلى ثلاث مرَّات فقد تمَّ سجوده وذلك أدناه;ابن مسعود (عن عون بن عبد الله);رواه الترمذي وأبو داود وابن ماجه (أبو داود 886، الترمذي 261، ابن ماجه 890) - مرسل;مرسل
742;ما صلَّيت وراء أحد بعد رسول الله ﷺ أشبه صلاةً برسول الله ﷺ من هذا الفتى - يعني عمر بن عبد العزيز - فحزَّزنا في ركوعه;أنس (عن سعيد بن جبير);رواه أحمد وأبو داود والنسائي (أحمد 3/162، أبو داود 888، النسائي 2/224);صحيح
743;كشف رسول الله ﷺ السِّتارة والناس صفوف خلف أبي بكر فقال: يا أيها الناس، إنه لم يَبقَ من مبشِّرات النبوة إلا الرؤيا الصالحة يراها المسلم أو تُرى له. ألا وإني نُهيت أن أقرأ القرآن راكعاً أو ساجداً، أما الركوع فعظِّموا فيه الرَّب، وأما السجود فاجتهدوا في الدعاء فقَمِنٌ أن يُستجاب لكم;ابن عباس;رواه أحمد ومسلم والنسائي وأبو داود (مسلم 2/48 - 219، أحمد 1/219، النسائي 2/190، أبو داود 876);صحيح
744;كان رسول الله ﷺ إذا قام إلى الصلاة يكبِّر حين يقوم، ثم يكبِّر حين يركع، ثم يقول: سمع الله لمن حمده حين يرفع صُلبه من الركعة، ثم يقول وهو قائم: ربَّنا ولك الحمد. ثم يفعل ذلك في الصلاة كلِّها، ويكبِّر حين يقوم من الجلوس;أبو هريرة;متفق عليه (البخاري 1/202، مسلم 2/7);صحيح
745;إذا قال الإمام: سمع الله لمن حمده فقولوا: ربَّنا ولك الحمد;أنس بن مالك;متفق عليه (البخاري 1/184/1، مسلم 2/20);صحيح
746;كان النبي ﷺ إذا رفع رأسه من الركوع قال: اللهم ربَّنا لك الحمد ملء السموات وملء الأرض وملء ما بينهما وملء ما شئت من شيء بعد، أهل الثناء والمجد، لا مانع لما أعطيت ولا مُعطي لما منعت، ولا ينفع ذا الجدِّ منك الجد;ابن عباس;رواه مسلم والنسائي (مسلم 2/47 - 198، النسائي 2/198);صحيح
